seed,step,row_space_rotation,update_norm,actual_full_response_cost,actual_heldout_auc,current_kernel_heldout_auc,source_kernel_heldout_auc,far_time_kernel_heldout_auc,permuted_kernel_heldout_auc,current_minus_actual_auc,current_minus_source_kernel_auc,current_minus_far_time_kernel_auc,current_minus_permuted_kernel_auc
85746,0,4.712160915387242e-08,0.06924662739038467,0.22715179934321486,0.0007600674591729681,0.003619098312272584,0.003619098312272584,0.0024720402713202094,0.0007576409251734416,0.002859030853099616,0.0,0.0011470580409523746,0.002861457387099142
85746,4,0.41320645444194254,0.036601390689611435,0.09778525848781958,8.746189065824322e-05,0.0015371642851823575,0.0010135620877076608,0.0014374993274589114,8.832308033864131e-05,0.0014497023945241143,0.0005236021974746967,9.966495772344608e-05,0.0014488412048437162
85746,8,0.5724959605327965,0.031632598489522934,0.08669967254651073,0.00012408032611334484,0.001458703198621736,0.0011847774624060001,0.001316193513663312,0.00012080747443870182,0.0013346228725083912,0.0002739257362157359,0.00014250968495842405,0.0013378957241830343
85746,12,0.6122160296567029,0.029788454994559288,0.055337975374876655,-3.434364048220272e-05,0.0007549352773792428,0.0006644363871679085,0.0007497163108664919,-3.581468418030938e-05,0.0007892789178614455,9.049889021133428e-05,5.218966512750885e-06,0.0007907499615595522
85746,16,0.575477737086065,0.030449671670794487,0.0469193253543561,0.0001437125028113754,0.0012841045611967639,0.0007316722067031742,0.0007316722067031742,0.00014112280409511429,0.0011403920583853884,0.0005524323544935897,0.0005524323544935897,0.0011429817571016495
85746,20,0.44039875098031633,0.03159373253583908,0.056386873361941724,0.00012165835518475794,0.0008250967618558258,0.0006396635838287046,0.0007527509470559887,0.00011960120712285285,0.0007034384066710678,0.0001854331780271212,7.234581479983711e-05,0.000705495554732973
85746,24,0.38757141187656663,0.02908257022500038,0.04501234269369839,0.0,0.00017717989081567073,0.00016513724444317904,0.00017740996862166615,0.0,0.00017717989081567073,1.2042646372491695e-05,-2.3007780599541405e-07,0.00017717989081567073
85746,28,0.35308506652594174,0.028505075722932816,0.038277005520089155,0.00022139884745714372,0.001073549458242673,0.001036228731488999,0.0008726561332791494,0.00022403275853785345,0.0008521506107855292,3.7320726753673926e-05,0.0002008933249635236,0.0008495166997048195
85747,0,7.146345858741881e-08,0.06911932677030563,0.21059158756781085,0.0002351448850976267,0.0016211750234288447,0.0016211750234288447,0.0016177020083508466,0.0002360252432615475,0.001386030138331218,0.0,3.473015077998026e-06,0.001385149780167297
85747,4,0.3070643204670189,0.03902265056967735,0.11229222588699374,0.0,-0.0002851592999758567,-0.0003940578872470291,-0.0003413448483063907,0.0,-0.0002851592999758567,0.0001088985872711724,5.618554833053402e-05,-0.0002851592999758567
85747,8,0.35235083617938956,0.031451642513275146,0.07171220863559066,0.0006342409534984057,0.0021304063572898935,0.0019633373653861106,0.0020034226977751475,0.0006347805073643864,0.001496165403791488,0.00016706899190378289,0.00012698365951474598,0.0014956258499255071
85747,12,0.30700721389362257,0.030214417725801468,0.0550409156415422,0.0005186364264301918,0.0018761352376467364,0.001834358492982894,0.0018384678588498902,0.0005170189376815823,0.0013574988112165446,4.1776744663842404e-05,3.766737879684623e-05,0.0013591162999651541
85747,16,0.3094339599789249,0.03051827847957611,0.046717848353178416,0.0001939660743806489,0.0010431568123515644,0.001003484979377097,0.001003484979377097,0.00019076206341785604,0.0008491907379709156,3.967183297446742e-05,3.967183297446742e-05,0.0008523947489337084
85747,20,0.3784599530946092,0.03041621670126915,0.04774499482671779,-0.00011047675767370906,0.0003540082601514171,0.00034105065559209,0.00035052599537022116,-0.00010985096460777721,0.0004644850178251262,1.2957604559327097e-05,3.4822647811959566e-06,0.00046385922475919433
85747,24,0.39440380463430263,0.029855407774448395,0.036599957477513025,0.0,0.000441340820828362,0.0004114622992682689,0.0004375609711506726,0.0,0.000441340820828362,2.987852156009313e-05,3.7798496776894055e-06,0.000441340820828362
85747,28,0.3521448421560196,0.02957507222890854,0.039763661225754594,7.475115356893787e-05,0.0006979858794845528,0.0006160791885897187,0.0006822978242946216,7.589729819363097e-05,0.0006232347259156149,8.190669089483415e-05,1.5688055189931214e-05,0.0006220885812909219
85748,0,3.332000937312528e-08,0.06924698501825333,0.21192368472659903,0.0002121162208451167,0.0012334445052467613,0.0012334445052467613,0.0011829862840173897,0.0002166921448137349,0.0010213282844016445,0.0,5.04582212293716e-05,0.0010167523604330264
85748,4,0.27593604163870894,0.03811822831630707,0.07839800229515986,0.0,0.0,0.00014538318472465117,7.874753829163286e-05,0.0,0.0,-0.00014538318472465117,-7.874753829163286e-05,0.0
85748,8,0.37062403946259637,0.032624147832393646,0.06077393278855326,0.0005603211220217286,0.0017002669222283549,0.0014199081731475678,0.0013815014014741758,0.0005585343680364587,0.0011399458002066263,0.00028035874908078707,0.0003187655207541791,0.0011417325541918963
85748,12,0.30342426500828906,0.03260781243443489,0.07691923139641225,0.000302609947491875,0.0011818533924260466,0.0009972953887559068,0.0010675066333625156,0.00029890405931820883,0.0008792434449341716,0.00018455800367013974,0.00011434675906353098,0.0008829493331078378
85748,16,0.23677265641275455,0.03203538805246353,0.06170732903662009,0.00012138217850777658,0.0005674653129553731,0.0005126167371848253,0.0005126167371848253,0.00012231645767078593,0.0004460831344475965,5.4848575770547804e-05,5.4848575770547804e-05,0.0004451488552845871
85748,20,0.18154983183641135,0.0298379585146904,0.04820746976326746,6.785717742704361e-05,0.0007775096485765909,0.0006806991105950214,0.0007097680363730059,6.535604447275362e-05,0.0007096524711495473,9.681053798156947e-05,6.774161220358499e-05,0.0007121536041038372
85748,24,0.16917615511591316,0.03032658062875271,0.049584509620735594,0.0,0.000922252311969185,0.0008888697049822535,0.0008486641584683207,0.0,0.000922252311969185,3.3382606986931515e-05,7.358815350086434e-05,0.000922252311969185
85748,28,0.3067477692370914,0.030898453667759895,0.05430094112939663,0.0,0.0003853230883895664,0.0003967620765931342,0.000366487804071373,0.0,0.0003853230883895664,-1.1438988203567812e-05,1.8835284318193424e-05,0.0003853230883895664
